************************************************************************************
          i         j          J^{2}_{ij}           J^{3}_{ij}
************************************************************************************
           1           2  -1.0000000000000000       -1.0000000000000000     
           2           3  -1.0000000000000000       -1.0000000000000000     
           3           4  -1.0000000000000000       -1.0000000000000000     
           4           5  -1.0000000000000000       -1.0000000000000000     
           5           6  -1.0000000000000000       -1.0000000000000000     
           1           6  -1.0000000000000000       -1.0000000000000000     
           7           8  -1.0000000000000000       -1.0000000000000000     
           8           9  -1.0000000000000000       -1.0000000000000000     
           9          10  -1.0000000000000000       -1.0000000000000000     
          10          11  -1.0000000000000000       -1.0000000000000000     
          11          12  -1.0000000000000000       -1.0000000000000000     
           7          12  -1.0000000000000000       -1.0000000000000000     
          13          14  -1.0000000000000000       -1.0000000000000000     
          14          15  -1.0000000000000000       -1.0000000000000000     
          15          16  -1.0000000000000000       -1.0000000000000000     
          16          17  -1.0000000000000000       -1.0000000000000000     
          17          18  -1.0000000000000000       -1.0000000000000000     
          13          18  -1.0000000000000000       -1.0000000000000000     
          19          20  -1.0000000000000000       -1.0000000000000000     
          20          21  -1.0000000000000000       -1.0000000000000000     
          21          22  -1.0000000000000000       -1.0000000000000000     
          22          23  -1.0000000000000000       -1.0000000000000000     
          23          24  -1.0000000000000000       -1.0000000000000000     
          19          24  -1.0000000000000000       -1.0000000000000000     
          25          26  -1.0000000000000000       -1.0000000000000000     
          26          27  -1.0000000000000000       -1.0000000000000000     
          27          28  -1.0000000000000000       -1.0000000000000000     
          28          29  -1.0000000000000000       -1.0000000000000000     
          29          30  -1.0000000000000000       -1.0000000000000000     
          25          30  -1.0000000000000000       -1.0000000000000000     
          31          32  -1.0000000000000000       -1.0000000000000000     
          32          33  -1.0000000000000000       -1.0000000000000000     
          33          34  -1.0000000000000000       -1.0000000000000000     
          34          35  -1.0000000000000000       -1.0000000000000000     
          35          36  -1.0000000000000000       -1.0000000000000000     
          31          36  -1.0000000000000000       -1.0000000000000000     
           1           7  -1.0000000000000000       -1.0000000000000000     
           2           8  -1.0000000000000000       -1.0000000000000000     
           3           9  -1.0000000000000000       -1.0000000000000000     
           4          10  -1.0000000000000000       -1.0000000000000000     
           5          11  -1.0000000000000000       -1.0000000000000000     
           6          12  -1.0000000000000000       -1.0000000000000000     
           7          13  -1.0000000000000000       -1.0000000000000000     
           8          14  -1.0000000000000000       -1.0000000000000000     
           9          15  -1.0000000000000000       -1.0000000000000000     
          10          16  -1.0000000000000000       -1.0000000000000000     
          11          17  -1.0000000000000000       -1.0000000000000000     
          12          18  -1.0000000000000000       -1.0000000000000000     
          13          19  -1.0000000000000000       -1.0000000000000000     
          14          20  -1.0000000000000000       -1.0000000000000000     
          15          21  -1.0000000000000000       -1.0000000000000000     
          16          22  -1.0000000000000000       -1.0000000000000000     
          17          23  -1.0000000000000000       -1.0000000000000000     
          18          24  -1.0000000000000000       -1.0000000000000000     
          19          25  -1.0000000000000000       -1.0000000000000000     
          20          26  -1.0000000000000000       -1.0000000000000000     
          21          27  -1.0000000000000000       -1.0000000000000000     
          22          28  -1.0000000000000000       -1.0000000000000000     
          23          29  -1.0000000000000000       -1.0000000000000000     
          24          30  -1.0000000000000000       -1.0000000000000000     
          25          31  -1.0000000000000000       -1.0000000000000000     
          26          32  -1.0000000000000000       -1.0000000000000000     
          27          33  -1.0000000000000000       -1.0000000000000000     
          28          34  -1.0000000000000000       -1.0000000000000000     
          29          35  -1.0000000000000000       -1.0000000000000000     
          30          36  -1.0000000000000000       -1.0000000000000000     
           1          31  -1.0000000000000000       -1.0000000000000000     
           2          32  -1.0000000000000000       -1.0000000000000000     
           3          33  -1.0000000000000000       -1.0000000000000000     
           4          34  -1.0000000000000000       -1.0000000000000000     
           5          35  -1.0000000000000000       -1.0000000000000000     
           6          36  -1.0000000000000000       -1.0000000000000000     
************************************************************************************
